站名,车站地址,铁路局,类别,性质,省,市,lng火星,lat火星,WGS84_Lng,WGS84_Lat,BD_Lng,BD_Lat
德州站,山东省德州市德城区迎宾路甲1号,北京铁路局, ,客运站,山东,德州,116.288473,37.449347,116.282709,37.4485979999999,116.294877022471,37.4555488893981
德州东站,山东省德州市经济开发区,北京铁路局, ,客运站,山东,德州,116.461698,37.409615,116.455853,37.408794,116.468183309824,37.4156648207939
大涧,山西省大同市灵丘县落水河乡大涧村大涧火车站,北京铁路局, ,乘降所,山西,大同,114.301339,39.4800079999999,114.294973,39.478861,114.307742071902,39.4861914260004
南峧,山西省黎城县东阳关镇南峧村,北京铁路局, ,乘降所,山西,晋中,113.557486,36.5737219999999,113.551187,36.5737299999999,113.564001783547,36.5798007609103
水洋,山西省黎城县西仵乡水洋村,北京铁路局, ,乘降所,浙江,杭州,120.173941,30.247098,120.169304999999,30.249464,120.18039149967,30.2534183143939
云彩岭,山西省灵丘县落水河乡孤山村云彩岭火车站,北京铁路局, ,乘降所,山西,大同,114.363181,39.4486759999999,114.356716,39.4474299999999,114.369604385395,39.4548025127317
招柏,山西省灵丘县落水河乡招柏村招柏火车站,北京铁路局, ,乘降所,山西,大同,114.408933,39.404947,114.40246,39.403688,114.415385710798,39.4110377021682
微子镇,山西省潞城市微子镇乡,北京铁路局, ,乘降所,山西,长治,113.299646999999,36.331485,113.2931,36.331411,113.306214825124,36.3372803088911
潞城站,山西省潞城市站前路1号,北京铁路局, ,客运站,山西,长治,113.222105,36.3209329999999,113.215604,36.3208929999999,113.228712729355,36.3266855518617
阳泉站,山西省阳泉市德胜街130号,北京铁路局, ,客运站,山西,阳泉,113.592314,37.8562909999999,113.585924,37.855794,113.598778278583,37.8623883672489
岩会站,山西省阳泉市平定县巨城镇,北京铁路局, ,客运站,山西,阳泉,113.741551,37.879634,113.73501,37.8789549999999,113.747966790346,37.885863742841
娘子关站,山西省阳泉市平定县娘子关镇,北京铁路局, ,客运站,山西,阳泉,113.87384,37.9672079999999,113.867594999999,37.9667109999999,113.880247667411,37.9735303927582
程家,山西省阳泉市平定县娘子关镇程家村,北京铁路局, ,乘降所,山西,阳泉,113.845408,37.922134,113.839093,37.9215859999999,113.851822407183,37.9284463466267
阳泉北站,山西省阳泉市盂县水神山路1号,北京铁路局, ,客运站,山西,阳泉,113.438402999999,38.115346,113.431506,38.1145649999999,113.444944629569,38.1212932594049
黎城站,山西省长治市黎城县广邯街2号,北京铁路局, ,客运站,山西,长治,113.392553,36.5148549999999,113.385813,36.5145649999999,113.399104763524,36.5207446997534
大口屯,天津市宝坻区大口屯乡,北京铁路局, ,乘降所,天津,宝坻区,117.264501,39.6049319999999,117.258156,39.6037249999999,117.271057585976,39.6106859723483
宝坻站,天津市宝坻区火车站路1号,北京铁路局, ,客运站,天津,宝坻区,117.335686,39.715789,117.329162,39.7144559999999,117.342212002765,39.7215978899622
汉沟镇,天津市北辰区,北京铁路局, ,乘降所,天津,宝坻区,117.101494,39.297963,117.095042,39.296694,117.108087079986,39.3036237644286
北仓,天津市北辰区,北京铁路局, ,乘降所,天津,北辰区,117.152091,39.2428609999999,117.145686,39.241674,117.158692772356,39.2485544893833
滨海北站,天津市滨海新区茶东村（滨汉公路茶淀地道口附近）,北京铁路局, ,客运站,天津,滨海新区,117.761599,39.236569,117.755277,39.235505,117.768005065263,39.2428244746214
滨海站,天津市滨海新区西中环快速路与华山道交叉口西侧,北京铁路局, ,客运站,天津,滨海新区,117.611701999999,39.0815279999999,117.605594999999,39.0807379999999,117.618153399831,39.0876445479837
军粮城,天津市东丽区军粮城镇,北京铁路局, ,乘降所,天津,东丽区,117.448673,39.056873,117.442168,39.055784,117.455203064138,39.0628270323395
军粮城北站,天津市东丽区军粮城镇新安路1号,北京铁路局, ,客运站,天津,东丽区,117.428441,39.065927,117.421897,39.064801,117.43497048923,39.0718539453971
天津站,天津市河北区新纬路1号,北京铁路局, ,客运站,天津,河北区,117.210114,39.1356559999999,117.203822,39.134632,117.216706817109,39.1413838657654
天津西站,天津市红桥区西站前街1号,北京铁路局, ,客运站,天津,红桥区,117.163382,39.158531,117.157006999999,39.1574129999999,117.169986070286,39.1642329028206
别山,天津市蓟县别山镇,北京铁路局, ,乘降所,天津,红桥区,117.478375,39.955575,117.471842,39.9542659999999,117.484903218864,39.9615684771446
蓟县站,天津市蓟县城关镇火车站路1号,北京铁路局, ,客运站,天津,蓟县,117.397953,40.026769,117.391268999999,40.0253379999999,117.404487738419,40.0326565222432
上仓,天津市蓟县上仓乡,北京铁路局, ,乘降所,天津,蓟县,117.409343,39.910926,117.402672999999,39.9095,117.415871286676,39.9168260420716
下仓,天津市蓟县下仓乡,北京铁路局, ,乘降所,天津,蓟县,117.434141999999,39.7967519999999,117.42751,39.795354,117.440664774569,39.8026837686561
蓟县南,天津市蓟县洇溜乡,北京铁路局, ,乘降所,天津,蓟县,117.3645,39.992071,117.357866,39.99067,117.371033862952,39.9979157965121
静海站,天津市静海县东方红路与联盟大街交口,北京铁路局, ,客运站,天津,静海县,116.929833,38.932768,116.923984,38.932071,116.936438988371,38.9384205853957
唐官屯,天津市静海县唐官屯镇军民东路增1号,北京铁路局, ,乘降所,天津,静海县,116.930499,38.711612,116.924674999999,38.711029,116.937115526296,38.7172673571384
塘沽站,天津市塘沽区大连道2543号,北京铁路局, ,客运站,天津,滨海新区,117.641081,39.0270289999999,117.634944,39.02624,117.647518883866,39.0331706494646
曹子里,天津市武清区曹子里乡,北京铁路局, ,乘降所,天津,武清区,117.15354,39.4218529999999,117.147114,39.420582,117.160136554703,39.4275458582454
崔黄口,天津市武清区崔黄口乡,北京铁路局, ,乘降所,天津,武清区,117.201434,39.5215549999999,117.195081,39.5203339999999,117.208020319217,39.5272749413215
武清站,天津市武清区前进道上佛罗伦萨小镇对过,北京铁路局, ,客运站,天津,武清区,117.016239,39.372464,117.010005,39.3712969999999,117.022811874529,39.3780886229526
杨柳青站,天津市西青区杨柳青镇西青道,北京铁路局, ,客运站,天津,西青区,117.002407,39.142116,116.996263,39.141114,117.008988167914,39.1477428977006
天津南站,天津市西青区张家窝镇,北京铁路局, ,客运站,天津,西青区,117.060855,39.0571109999999,117.054497,39.056013,117.067448215935,39.0627533708674
旧庄窝东,张家口市怀来县官厅镇,北京铁路局, ,乘降所,河北,张家口,115.647938999999,40.16714,115.641803,40.16606,115.654382942219,40.1732885978807
